article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,4,"[186.48001098632812, 141.36001586914062, 528.1559448242188, 196.56008911132812]","[0.3047059003044577, 0.1784848685216422, 0.8629999098434947, 0.24818193069612138]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[61.91999816894531, 204.60000610351562, 513.7197265625, 303.0000915527344]","[0.10117646759631586, 0.25833334103979244, 0.8394113179125817, 0.3825758731726444]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.47999572753906, 471.0000305175781, 496.91986083984375, 511.8000183105469]","[0.28999999301885465, 0.5946970082292653, 0.8119605569278493, 0.6462121443314985]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[222.47999572753906, 99.48001861572266, 524.6764526367188, 154.68008422851562]","[0.36352940478356055, 0.12560608411076093, 0.8573144650926777, 0.1953031366521662]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 277.0801086425781, 526.919921875, 317.8800964355469]","[0.30470587537179583, 0.34984862202345723, 0.860980264501634, 0.4013637581256905]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 277.0801086425781, 526.919921875, 317.8800964355469]","[0.30470587537179583, 0.34984862202345723, 0.860980264501634, 0.4013637581256905]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,2,"[186.47999572753906, 437.8799743652344, 535.8843994140625, 507.4799499511719]","[0.30470587537179583, 0.5528787555116595, 0.8756281036177492, 0.640757512564611]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 437.8799743652344, 535.8843994140625, 507.4799499511719]","[0.30470587537179583, 0.5528787555116595, 0.8756281036177492, 0.640757512564611]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 437.8799743652344, 535.8843994140625, 507.4799499511719]","[0.30470587537179583, 0.5528787555116595, 0.8756281036177492, 0.640757512564611]",612.0,792.0
advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 521.4805908203125, 521.412109375, 677.8799438476562]","[0.30470587537179583, 0.6584350894195865, 0.851980570874183, 0.855909020009667]",612.0,792.0
